0	1	low
1	2	low
2	3	mid
3	4	low
4	5	low
5	6	high
6	7	mid
7	8	mid
8	9	low
9	10	low
10	11	low
11	12	low
12	13	high
13	14	low
14	15	mid
15	16	mid
16	17	high
17	18	low
18	19	low
19	20	mid
20	21	low
21	22	mid
22	23	high
23	24	mid
24	25	low
25	26	mid
26	27	low
27	28	low
